id,requirement,status,evidence,owner_action,automatable
site-01,The service offers online educational courses or lessons,confirmed compliant,Live and repository course pages describe browser-based online lessons and self-study materials.,Keep at least one genuinely available online product before activation.,yes
site-02,The site is the direct provider rather than an aggregator,confirmed compliant,"ChinaChild presents its own teachers, platform, licence, contract and application flow; offer CTAs do not send buyers to an aggregator.",Confirm provider status remains unchanged at submission.,partly
site-03,A valid legal entity or individual entrepreneur exists,likely compliant but needs owner verification,The site names ИП Толкачева Ирина Владимировна with INN and OGRNIP.,Owner must verify that the IP is active and every displayed registration detail is current.,no
site-04,The service and offers comply with Russian law,not verifiable from repository,Repository evidence cannot establish general legal compliance.,Owner or counsel must review current operations and offer terms.,no
site-05,Orders use the published terms or better terms,likely compliant but needs owner verification,The public treaty says the selected price and conditions are fixed at acceptance; course pages say price is fixed before start.,Owner must confirm real invoices and contracts never worsen the published terms.,no
site-06,The service contains no profanity,likely compliant but needs owner verification,No profanity was found in the inspected commercial and legal source paths; the repository has a much larger content corpus.,Review newly published and user-provided content before submission.,partly
site-07,The service is not a copy of another service,not verifiable from repository,Original source code and brand content are present but external originality cannot be proven from the repository.,Owner must confirm the service is not a duplicate storefront.,no
site-08,The service is localized for users in Russia,confirmed compliant,"Russian-language pages, RUR prices, Russian phone, legal terms and payment methods are present.",Keep offer terms valid for the selected Yandex region.,yes
site-09,The offer page lets the user place an order or application,confirmed compliant,All 3 enabled canonical offer pages have direct application CTAs and preserve the reviewed lead flow.,Test one real application immediately before submission without completing an unwanted paid order.,partly
site-10,Payment methods are stated on the site,confirmed compliant,"Public treaty section 8 states card, bank transfer, payment provider and instalment methods in Russian rubles.",Confirm the methods remain actually available.,yes
site-11,The service uses HTTPS,confirmed compliant,"Read-only production probes returned HTTPS 200 for the homepage, legal pages and all confirmed commercial routes.",Keep TLS and canonical origin monitoring active.,yes
site-12,The service works and contains no malware,not verifiable from repository,"Production pages returned 200, but malware and Webmaster security status require provider-side verification.",Check Yandex Webmaster Security and violations immediately before upload.,partly
site-13,Prices and purchase conditions are current and do not change after ordering,likely compliant but needs owner verification,All 3 enabled offers derive the visible and feed price of 17990 RUR from the shared package source; operational billing cannot be observed.,"Owner must reconcile the site, invoice templates and actual checkout or payment links.",partly
site-14,Every feed offer has a separate canonical page,confirmed compliant,"The 3 enabled offers use separate direct canonical pages: /courses/chinese-for-adults, /courses/chinese-for-kids, /courses/hsk-preparation.",Re-run the direct URL and canonical audit after deployment and before upload.,yes
site-15,Homepage and offer pages do not open additional popup windows,likely compliant but needs owner verification,Live checks found zero open lead dialogs; lead dialogs open only after a click. A non-modal cookie consent banner is initially visible.,Owner should ask Yandex support whether the required consent banner is acceptable for this moderation rule.,partly
site-16,Required IP name and OGRNIP are visible,confirmed compliant,"Full IP name, OGRNIP and legal address are visible in the footer and public treaty.",Keep the footer and treaty synchronized with current registration data.,yes
site-17,The published phone works and accepts calls,not verifiable from repository,"The phone is visible and linked, but no call was placed.",Owner must call +7 (495) 005-25-82 from an external phone before submission.,no
site-18,Required licence or confirming documents are visible,confirmed compliant,The licence route shows registration details and two document scans; the footer links to it.,Owner must verify licence validity in the official register.,partly
site-19,The service confirms a moderation order within three working hours,likely compliant but needs owner verification,The published application policy is daily 09:00–21:00 Moscow time with a normal 1–2 hour response in that period; night applications are handled from the next response period. Repository code cannot prove staffing or actual response time.,Verify monitored staffing and confirm that a moderation application received during 09:00–21:00 Moscow time can be handled within three working hours.,partly
feed-01,YML uses the current Education feed structure,confirmed compliant,"The generator emits yml_catalog, shop, currencies and offers; Education category IDs come only from the pinned unified rubricator, and unmodeled categories or sets are rejected by tests.",Keep tests aligned with Yandex Webmaster parser feedback and the current unified rubricator.,yes
feed-02,Shop name is no longer than 30 characters,confirmed compliant,Shop name is ChinaChild from the site configuration.,Do not replace it with an overlong label.,yes
feed-03,Shop URL and email are real production values,confirmed compliant,The generator uses https://chinachild.ru and info@chinachild.ru from site configuration.,Owner must continue monitoring the inbox.,yes
