url,why_protected,main_queries,provider_evidence,allowed_future_changes,prohibited_future_changes
https://chinachild.ru/(not%20set),strong current organic evidence,,"GSC 0 impressions/0 clicks; GA4 299 organic sessions; Metrica 0 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/gde-sdat-hsk-v-rossii-2026,"strong current organic evidence; HSK cluster default protection","где можно сдать hsk в россии (96); сдать hsk в москве 2026 (66); сдать hsk в россии 2026 (57); где сдать hsk в россии (42); можно ли сдать hsk в россии (26); где можно сдать hsk (23); hsk где сдать в россии (21); hsk в россии (20)","GSC 2396 impressions/45 clicks; GA4 184 organic sessions; Metrica 192 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/how-long-to-learn-chinese,"strong current organic evidence; HSK cluster default protection","за сколько можно выучить китайский (260); за сколько можно выучить китайский язык (165); сколько учить китайский с нуля (60); за какое время можно выучить китайский язык (53); сколько нужно учить китайский язык (37); за сколько реально выучить китайский (36); сколько учить китайский (32); за какое время можно выучить китайский (30)","GSC 5643 impressions/31 clicks; GA4 211 organic sessions; Metrica 207 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/how-to-learn-chinese-from-scratch,strong current organic evidence,"изучать китайский язык с нуля (36); китайский с нуля (16); изучение китайского языка для начинающих (13); изучение китайского языка с нуля (8); китайский язык с нуля (8); с чего начинать учить китайский язык самостоятельно с нуля (6); с чего начать учить китайский (5); как выучить китайский (4)","GSC 250 impressions/1 clicks; GA4 260 organic sessions; Metrica 261 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/hsk-2-300-slov-spisok,"strong current organic evidence; HSK cluster default protection","грамматика hsk 2 (145); hsk 2 грамматика (68); вся грамматика hsk 2 (45); hsk 2 слова (45); hsk 2 список слов (40); слова hsk 2 (35); грамматика китайского языка hsk 2 (19); грамматика 2 hsk (18)","GSC 1841 impressions/45 clicks; GA4 165 organic sessions; Metrica 152 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/hsk-3-0-novyy-format-2027,"strong current organic evidence; HSK cluster default protection",,"GSC 0 impressions/0 clicks; GA4 951 organic sessions; Metrica 962 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/hsk-3-i-cefr-b1,HSK cluster default protection,"hsk cefr (4); hsk 3.0 cefr (3); hsk 3 in cefr (1); почему так мало (1); hsk 3 equivalent cefr (1)","GSC 155 impressions/6 clicks; GA4 25 organic sessions; Metrica 23 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/hsk-4-dlya-postupleniya-v-vuz,HSK cluster default protection,,"GSC 7 impressions/0 clicks; GA4 82 organic sessions; Metrica 81 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/hsk-5-business-and-society,HSK cluster default protection,,"GSC 0 impressions/0 clicks; GA4 54 organic sessions; Metrica 58 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/hsk-6-bilingual,HSK cluster default protection,"hsk 6 (31); hsk 6 это какой уровень (22); hsk6 это (5); hsk 6 сколько слов (4)","GSC 123 impressions/2 clicks; GA4 48 organic sessions; Metrica 45 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
https://chinachild.ru/blog/hsk-levels-explained,"strong current organic evidence; HSK cluster default protection","hsk (265); hsk 4 это какой уровень (146); hsk уровни (143); hsk 4 сколько иероглифов (132); уровни hsk (119); сколько иероглифов надо знать для hsk 1 (86); hsk 1 сколько слов (79); сколько иероглифов нужно знать для hsk 1 (79)","GSC 11210 impressions/83 clicks; GA4 465 organic sessions; Metrica 442 organic visits",Narrow factual correction or proven defect fix with before/after regression evidence.,"Broad rewrite; route, redirect, canonical, title or H1 change without exact conflict evidence; removal of working contextual links; visual change."
